,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
80,Dwupokojowe mieszkanie   edle Eldorado  Kraków,: Czyżyny,2.0,415 000 ,42.0,9881.0,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-osiedle-eldorado-krakow-ID3WXXq.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Czyżyny",,,"Czyżyny, Kraków, województwo małopolskie, Polska", dzielnica,"(50.06652355, 20.0088412914733, 0.0)",50.06652355,20.0088412914733,0.0
87,Atrakcyjne mieszkanie 3 pokoje  Oś.Oświecenia,: Mistrzejowice,3.0,439 000 ,56.39,7785.0,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-3-pokoje-os-oswiecenia-ID3WXQQ.html#85fbb29208,2019-03-07 15:26:02.255068,"Krakow , : Mistrzejowice",,,"Mistrzejowice, Kraków, województwo małopolskie, Polska", dzielnica,"(50.09742625, 20.0096026322589, 0.0)",50.09742625,20.0096026322589,0.0
89,Mieszkanie w cichej i zielonej okolicy,: Łagiewniki-Borek Fałęcki,2.0,340 000 ,49.0,6939.0,https://www.otodom.pl/oferta/mieszkanie-w-cichej-i-zielonej-okolicy-ID3WXCv.html#85fbb29208,2019-03-07 15:26:02.255068,"Krakow , : Łagiewniki-Borek Fałęcki",,,"Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, Polska", dzielnica,"(50.01607955, 19.9276156327441, 0.0)",50.01607955,19.9276156327441,0.0
96,Przyt e mieszkanie bezpośrednio od właściciela.,: małopolskie,2.0,215 000 ,30.0,7167.0,https://www.otodom.pl/oferta/przytulne-mieszkanie-bezposrednio-od-wlasciciela-ID3WVDq.html#d245b9f81f,2019-03-07 15:26:03.120374,"Krakow , : małopolskie",,,"Kraków, województwo małopolskie, Polska", dzielnica,"(50.0469432, 19.9971534358367, 0.0)",50.0469432,19.9971534358367,0.0
97,3 pokojowe nowoczesne  piękne! mieszkanie   Kraków,: Wola Duchacka,3.0,430 000 ,50.83,8460.0,https://www.otodom.pl/oferta/3-pokojowe-nowoczesne-piekne-mieszkanie-krakow-ID3WXyv.html#d245b9f81f,2019-03-07 15:26:03.120374,"Krakow , : Wola Duchacka",,,"Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, Polska", dzielnica,"(50.02252585, 19.9614044122065, 0.0)",50.02252585,19.9614044122065,0.0
98,3 pokoje do remontu z ogrzewaniem Mpec,: Prądnik Czerwony,3.0,319 000 ,47.0,6787.0,https://www.otodom.pl/oferta/3-pokoje-do-remontu-z-ogrzewaniem-mpec-ID3WXy4.html#d245b9f81f,2019-03-07 15:26:03.120374,"Krakow , : Prądnik Czerwony",,,"Prądnik Czerwony, Kraków, województwo małopolskie, Polska", dzielnica,"(50.0859345, 19.9665974032864, 0.0)",50.0859345,19.9665974032864,0.0
100,Sprzedam mieszkanie 67 m2,: Nowa Huta,3.0,499 000 ,67.0,7448.0,https://www.otodom.pl/oferta/sprzedam-mieszkanie-67-m2-ID3WXg0.html#d245b9f81f,2019-03-07 15:26:03.120374,"Krakow , : Nowa Huta",,,"Nowa Huta, Kraków, województwo małopolskie, Polska", dzielnica,"(50.08061865, 20.1293321980052, 0.0)",50.08061865,20.1293321980052,0.0
103,Piękny 5 pokojowy apartament z dużym tarasem!,: Prądnik Biały,5.0,1 192 000 ,150.0,7947.0,https://www.otodom.pl/oferta/piekny-5-pokojowy-apartament-z-duzym-tarasem-ID3WXfy.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Prądnik Biały",,,"Prądnik Biały, Kraków, województwo małopolskie, Polska", dzielnica,"(50.1035684, 19.9536031063012, 0.0)",50.1035684,19.9536031063012,0.0
106,Kawalerka z tarasem  gotowa do odbioru,: Stare Podgórze,1.0,310 000 ,30.0,10333.0,https://www.otodom.pl/oferta/kawalerka-z-tarasem-gotowa-do-odbioru-ID3WX6k.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Stare Podgórze",,,"Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-518, Polska", dzielnica,"(50.0444203, 19.9493098, 0.0)",50.0444203,19.9493098,0.0
107,Jasny i wygodny apartament   Góników,: Bieżanów-Prokocim,2.0,495 000 ,51.0,9706.0,https://www.otodom.pl/oferta/jasny-i-wygodny-apartament-ul-gonikow-ID3WX6g.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Bieżanów-Prokocim",,,"Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska", dzielnica,"(50.0170474, 20.0229769566876, 0.0)",50.0170474,20.0229769566876,0.0
109,2 pokojowe mieszkanie w sercu Krowodrzy!,: Krowodrza,2.0,480 000 ,49.0,9796.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-sercu-krowodrzy-ID3WVNi.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Krowodrza",,,"Krowodrza, Kraków, województwo małopolskie, Polska", dzielnica,"(50.07087985, 19.9165631181448, 0.0)",50.07087985,19.9165631181448,0.0
118,Mieszkanie  36   Kraków,: Prądnik Biały,1.0,299 000 ,36.0,8306.0,https://www.otodom.pl/oferta/mieszkanie-36-m-krakow-ID3WVCk.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Prądnik Biały",,,"Prądnik Biały, Kraków, województwo małopolskie, Polska", dzielnica,"(50.1035684, 19.9536031063012, 0.0)",50.1035684,19.9536031063012,0.0
119,Mieszkanie  50   Kraków,: Ruczaj,2.0,419 000 ,50.0,8380.0,https://www.otodom.pl/oferta/mieszkanie-50-m-krakow-ID3WVBu.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Ruczaj",,,"Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska", dzielnica,"(50.0254477, 19.9220913, 0.0)",50.0254477,19.9220913,0.0
126,Mieszkanie przy Wiśle! D onała inwestycja!,: Stare Dębniki,2.0,569 000 ,49.7,11449.0,https://www.otodom.pl/oferta/mieszkanie-przy-wisle-doskonala-inwestycja-ID3WVvY.html#2586a7ec49,2019-03-07 15:26:04.037821,"Krakow , : Stare Dębniki",,,"Dębniki, Kraków, województwo małopolskie, Polska", dzielnica,"(50.0518611, 19.9270367, 0.0)",50.0518611,19.9270367,0.0
127,Mieszkanie  69   Kraków,: Ruczaj,3.0,530 000 ,69.0,7681.0,https://www.otodom.pl/oferta/mieszkanie-69-m-krakow-ID3WVBq.html#2586a7ec49,2019-03-07 15:26:04.037821,"Krakow , : Ruczaj",,,"Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska", dzielnica,"(50.0254477, 19.9220913, 0.0)",50.0254477,19.9220913,0.0
129,3 pok. mieszkanie  Ułanów  z potencjałem,: małopolskie,3.0,399 000 ,56.0,7125.0,https://www.otodom.pl/oferta/3-pok-mieszkanie-ulanow-z-potencjalem-ID3WVyk.html#2586a7ec49,2019-03-07 15:26:04.039826,"Krakow , : małopolskie",,,"Kraków, województwo małopolskie, Polska", dzielnica,"(50.0469432, 19.9971534358367, 0.0)",50.0469432,19.9971534358367,0.0
130,Mieszkanie  63   Kraków,: Stare Miasto,2.0,739 000 ,63.0,11730.0,https://www.otodom.pl/oferta/mieszkanie-63-m-krakow-ID3WVxO.html#2586a7ec49,2019-03-07 15:26:04.043838,"Krakow , : Stare Miasto",,,"Stare Miasto, Kraków, województwo małopolskie, Polska", dzielnica,"(50.0590398, 19.937168297929, 0.0)",50.0590398,19.937168297929,0.0
131,2 pokojowe mieszkanie na Prądniku Białym,: Prądnik Biały,2.0,449 000 ,51.58,8705.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-pradniku-bialym-ID3WVxC.html#2586a7ec49,2019-03-07 15:26:04.045844,"Krakow , : Prądnik Biały",,,"Prądnik Biały, Kraków, województwo małopolskie, Polska", dzielnica,"(50.1035684, 19.9536031063012, 0.0)",50.1035684,19.9536031063012,0.0
134,Mieszkanie  78 60   Kraków,: Żabiniec,3.0,580 000 ,78.6,7379.0,https://www.otodom.pl/oferta/mieszkanie-78-60-m-krakow-ID3WVsI.html#2586a7ec49,2019-03-07 15:26:04.046845,"Krakow , : Żabiniec",,,"Żabiniec, Casa Feliz, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska", dzielnica,"(50.083371, 19.9417329, 0.0)",50.083371,19.9417329,0.0
