,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
2145,Bronowice Radzikowskiego 48m2+Balkon do wejścia!!!,: Bronowice,2.0,460 000 ,48.07,9569.0,https://www.otodom.pl/oferta/bronowice-radzikowskiego-48m2-balkon-do-wejscia-ID3VYsI.html#9a94e89e50,2019-03-25 08:12:03.785081,"Krakow , : Bronowice",Idzikowskiego,Kraków Idzikowskiego,"Ludwika Idzikowskiego, Rakowice, Grzegórzki, Kraków, województwo małopolskie, 31-519, Polska",ulica,"(50.0768625, 19.9600088, 0.0)",50.0768625,19.9600088,0.0
2146, Bochenka   jedpokojowe   blok z windą !,: Piaski Wielkie,1.0,255 000 ,29.6,8615.0,https://www.otodom.pl/oferta/ul-bochenka-jedpokojowe-blok-z-winda-ID3VYpy.html#9a94e89e50,2019-03-25 08:12:03.785081,"Krakow , : Piaski Wielkie",Bochenka,Kraków Bochenka,"Adama Bochenka, Podlesie, Podgórze Duchackie, Kraków, województwo małopolskie, 30-686, Polska",ulica,"(50.013036, 19.979095, 0.0)",50.013036,19.979095,0.0
2170,3pokoje ogródek glogera pod klucz  atnie!,: Prądnik Biały,3.0,420 000 ,64.22,6540.0,https://www.otodom.pl/oferta/3pokoje-ogrodek-glogera-pod-klucz-ostatnie-ID3UaYM.html#98d7cb2e5c,2019-03-25 08:12:08.061058,"Krakow , : Prądnik Biały",Glogera,Kraków Glogera,"Zygmunta Glogera, Prądnik Biały, Kraków, województwo małopolskie, 31-222, Polska",ulica,"(50.1031339, 19.9271219, 0.0)",50.1031339,19.9271219,0.0
2195,Bronowicka 2 pokoje jasna kuchnia,: Bronowice Małe,2.0,419 000 ,52.0,8058.0,https://www.otodom.pl/oferta/bronowicka-2-pokoje-jasna-kuchnia-ID3Wuq0.html#98d7cb2e5c,2019-03-25 08:12:08.061058,"Krakow , : Bronowice Małe",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-091, Polska",ulica,"(50.079245, 19.8970729, 0.0)",50.079245,19.8970729,0.0
2197,Nowoczesne mieszkanie 5 min od Dworca Głównego,: Stare Miasto,2.0,519 000 ,36.48,14227.0,https://www.otodom.pl/oferta/nowoczesne-mieszkanie-5-min-od-dworca-glownego-ID3XbZq.html#24f2434338,2019-03-26 16:02:00.114262,"Krakow , : Stare Miasto",Dworcowa,Kraków Dworcowa,"Dworcowa, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska",ulica,"(50.0343316, 19.973753, 0.0)",50.0343316,19.973753,0.0
2202,Lentza  37m2  2 Pokoje  Azory  Inwestycja,: Azory,2.0,280 000 ,37.4,7487.0,https://www.otodom.pl/oferta/lentza-37m2-2-pokoje-azory-inwestycja-ID3Xe3y.html#24f2434338,2019-03-26 16:02:00.114262,"Krakow , : Azory",Lentza,Kraków Lentza,"Stanisława Lentza, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-314, Polska",ulica,"(50.0842806, 19.9090588, 0.0)",50.0842806,19.9090588,0.0
2203,1 pokojowe  Aleksandry  Bieżanów Prokocim,: Bieżanów-Prokocim,1.0,249 000 ,32.0,7781.0,https://www.otodom.pl/oferta/1-pokojowe-aleksandry-biezanow-prokocim-ID3Xe3q.html#24f2434338,2019-03-26 16:02:00.114262,"Krakow , : Bieżanów-Prokocim",Aleksandry,Kraków Aleksandry,"Aleksandry, Nowy Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-863, Polska",ulica,"(50.0162778, 20.0162306, 0.0)",50.0162778,20.0162306,0.0
2204,Szukasz dużego mieszkania dla swojej rodziny zobac,: Prądnik Biały,4.0,431 925 ,57.59,7500.0,https://www.otodom.pl/oferta/szukasz-duzego-mieszkania-dla-swojej-rodziny-zobac-ID3Xe1C.html#24f2434338,2019-03-26 16:02:00.114262,"Krakow , : Prądnik Biały",Rodziny,Kraków Rodziny,"Katolickie Szkoły im.Świętej Rodziny z Nazaretu, Pędzichów, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-152, Polska",ulica,"(50.06999585, 19.94018479506805, 0.0)",50.06999585,19.94018479506805,0.0
2224,Apartament  Kazimierz  Wysoki Standard,: Kazimierz,2.0,576 000 ,36.0,16000.0,https://www.otodom.pl/oferta/apartament-kazimierz-wysoki-standard-ID3XdvE.html#b7c17405d5,2019-03-26 16:02:02.427048,"Krakow , : Kazimierz",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2227,Kraków   Kazimierz     Brzozowa – 98 m2,: Kazimierz,3.0,929 000 ,98.0,9480.0,https://www.otodom.pl/oferta/krakow-kazimierz-ul-brzozowa-98-m2-ID3XdrS.html#b7c17405d5,2019-03-26 16:02:02.427048,"Krakow , : Kazimierz",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
