opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data
, 36m2, Bieńczyce!!!;: Bieńczyce;2 pokoje;265 000 ;36,35 ;7 290 /;https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-36m2-bienczyce-ID3Ve0c.html#2586a7ec49;2019-03-12 08:53:09.622957
Ładne,zadbane 3 pokojowe, os.Tysiąclecia;: Mistrzejowice;3 pokoje;339 000 ;47,30 ;7 167 /;https://www.otodom.pl/oferta/ladne-zadbane-3-pokojowe-os-tysiaclecia-ID3VdWK.html#2586a7ec49;2019-03-12 08:53:09.622957
Nowe mieszkanie 2-pokojowe w sercu Kazimierza;: Kazimierz;2 pokoje;349 000 ;36,20 ;9 641 /;https://www.otodom.pl/oferta/nowe-mieszkanie-2-pokojowe-w-sercu-kazimierza-ID3VdWu.html#2586a7ec49;2019-03-12 08:53:09.622957
2-pokojowe, 55,5 m2, Gotowe, Wola Duchacka;: Wola Duchacka;2 pokoje;424 000 ;55,50 ;7 640 /;https://www.otodom.pl/oferta/2-pokojowe-55-5-m2-gotowe-wola-duchacka-ID3VdWi.html#2586a7ec49;2019-03-12 08:53:09.622957
1 Pokój Z Osobną Kuchnią W Centrum Nowej Huty!;: Nowa Huta;1 pokój;229 000 ;29,50 ;7 763 /;https://www.otodom.pl/oferta/1-pokoj-z-osobna-kuchnia-w-centrum-nowej-huty-ID3VdS0.html#2586a7ec49;2019-03-12 08:53:09.622957
ul. Grzegórzecka, m. 69m2, 3-pokojowe z balkonem;: Grzegórzki;3 pokoje;600 000 ;69 ;8 696 /;https://www.otodom.pl/oferta/ul-grzegorzecka-m-69m2-3-pokojowe-z-balkonem-ID3VdQk.html#2586a7ec49;2019-03-12 08:53:09.622957
Sprzedam 2 pok. mieszkanie 38m2 - ul.Stachiewicza;: Krowodrza;2 pokoje;320 000 ;38 ;8 421 /;https://www.otodom.pl/oferta/sprzedam-2-pok-mieszkanie-38m2-ul-stachiewicza-ID3Vdp2.html#2586a7ec49;2019-03-12 08:53:09.622957
Mistrzejowice 3-pokojowe, loggia, jasna kuchnia;: Mistrzejowice;3 pokoje;335 000 ;60 ;5 583 /;https://www.otodom.pl/oferta/mistrzejowice-3-pokojowe-loggia-jasna-kuchnia-ID3VdJG.html#2586a7ec49;2019-03-12 08:53:09.622957
GOTOWE 4 pok mieszkanie z ogrodem. SUPER CENA !;: małopolskie;4 pokoje;369 000 ;80 ;4 613 /;https://www.otodom.pl/oferta/gotowe-4-pok-mieszkanie-z-ogrodem-super-cena-ID3Vkfi.html#89e33f6554;2019-03-13 08:59:53.986234
3 - pokojowe, przestronne mieszkanie (Kapelanka);: Dębniki;3 pokoje;550 000 ;63 ;8 730 /;https://www.otodom.pl/oferta/3-pokojowe-przestronne-mieszkanie-kapelanka-ID3ViPq.html#89e33f6554;2019-03-13 08:59:53.986234
Okazja! bezpośrednio od właściciela, wykończone;: Bronowice;2 pokoje;355 000 ;37 ;9 595 /;https://www.otodom.pl/oferta/okazja-bezposrednio-od-wlasciciela-wykonczone-ID3VkFi.html#89e33f6554;2019-03-13 08:59:53.986234
Bezpośr. inwestycyjne na krótki najem ul.Paulińska;: Kazimierz;1 pokój;437 000 ;33,69 ;12 971 /;https://www.otodom.pl/oferta/bezposr-inwestycyjne-na-krotki-najem-ul-paulinska-ID3Vjly.html#89e33f6554;2019-03-13 08:59:53.986234
Sprzedam mieszkanie Kraków;: Mistrzejowice Nowe;1 pokój;267 000 ;35,33 ;7 557 /;https://www.otodom.pl/oferta/sprzedam-mieszkanie-krakow-ID3Vh9C.html#89e33f6554;2019-03-13 08:59:53.986234
Siewna ok - 3 pokoje, kuchnia, ogródek-po remoncie;: Prądnik Biały;3 pokoje;475 000 ;64,30 ;7 387 /;https://www.otodom.pl/oferta/siewna-ok-3-pokoje-kuchnia-ogrodek-po-remoncie-ID3VkPC.html#89e33f6554;2019-03-13 08:59:53.986234
Mieszkanie, 75 , Kraków;: Grzegórzki;3 pokoje;999 000 ;75 ;13 320 /;https://www.otodom.pl/oferta/mieszkanie-75-m-krakow-ID3VkLO.html#89e33f6554;2019-03-13 08:59:53.986234
Jasne, eleganckie mieszkanie 3-pokojowe Nowa Huta;: Nowa Huta;3 pokoje;377 000 ;51,80 ;7 278 /;https://www.otodom.pl/oferta/jasne-eleganckie-mieszkanie-3-pokojowe-nowa-huta-ID3VkHy.html#89e33f6554;2019-03-13 08:59:53.986234
7% w skali roku Krowodrza;: Krowodrza;4 pokoje;689 000 ;93 ;7 409 /;https://www.otodom.pl/oferta/7-w-skali-roku-krowodrza-ID3VkHa.html#89e33f6554;2019-03-13 08:59:53.986234
Na sprzedaż 2 pokojowe mieszkanie z osobną kuchnią;: Bieżanów-Prokocim;2 pokoje;270 000 ;53 ;5 094 /;https://www.otodom.pl/oferta/na-sprzedaz-2-pokojowe-mieszkanie-z-osobna-kuchnia-ID3VkFC.html#89e33f6554;2019-03-13 08:59:53.986234
Mieszkanie osiedle Spółdzielców! Do remontu!;: Podgórze Duchackie;1 pokój;180 000 ;23,38 ;7 699 ;https://www.otodom.pl/oferta/mieszkanie-osiedle-spoldzielcow-do-remontu-ID3VkFa.html#89e33f6554;2019-03-13 08:59:53.986234
Mieszkanie 46m2 ulica Borkowska! Ciche z balkonem!;: Łagiewniki-Borek Fałęcki;2 pokoje;325 000 ;46 ;7 065 /;https://www.otodom.pl/oferta/mieszkanie-46m2-ulica-borkowska-ciche-z-balkonem-ID3VkF6.html#89e33f6554;2019-03-13 08:59:53.986234
Wyłączność."Obozowa-Ruczaj.65m,Świetne.;: Ruczaj;3 pokoje;489 000 ;64,50 ;7 581 /;https://www.otodom.pl/oferta/wylacznosc-obozowa-ruczaj-65m-swietne-ID3VkDV.html#89e33f6554;2019-03-13 08:59:53.986234
Przejmij Najemców. Dobrze Płacą, 2pok przy Agh,Uj.;: Krowodrza;2 pokoje;598 000 ;71,30 ;8 387 /;https://www.otodom.pl/oferta/przejmij-najemcow-dobrze-placa-2pok-przy-agh-uj-ID3VkDS.html#89e33f6554;2019-03-13 08:59:53.986234
ul.Długa,Ścisłe Centrum. 140m pod Hostel np:;: Śródmieście;4 pokoje;1 350 000 ;139,17 ;9 700 /;https://www.otodom.pl/oferta/ul-dluga-scisle-centrum-140m-pod-hostel-np-ID3VkDO.html#89e33f6554;2019-03-13 08:59:53.986234
Luksusowy Apartament Z Kominkiem,Bronowice Małe;: Bronowice;4 pokoje;950 000 ;111,39 ;8 529 /;https://www.otodom.pl/oferta/luksusowy-apartament-z-kominkiem-bronowice-male-ID3VkDG.html#89e33f6554;2019-03-13 08:59:53.986234
Na sprzedaż 1 pokój z kuchnią na 3 piętrze !;: Stare Miasto;1 pokój;362 000 ;31 ;11 677 /;https://www.otodom.pl/oferta/na-sprzedaz-1-pokoj-z-kuchnia-na-3-pietrze-ID3VkA0.html#89e33f6554;2019-03-13 08:59:53.986234
Mieszkanie, 36 , Kraków;: Krowodrza;2 pokoje;647 000 ;36 ;17 972 /;https://www.otodom.pl/oferta/mieszkanie-36-m-krakow-ID3VkzO.html#89e33f6554;2019-03-13 08:59:53.986234
1 pokój Kraków Azory;: Krowodrza;1 pokój;199 000 ;20 ;9 950 /;https://www.otodom.pl/oferta/1-pokoj-krakow-azory-ID3Vkzi.html#89e33f6554;2019-03-13 08:59:53.986234
2 pokoje Kraków Śródmieście;: Olsza;2 pokoje;470 000 ;53 ;8 868 /;https://www.otodom.pl/oferta/2-pokoje-krakow-srodmiescie-ID3Vkze.html#89e33f6554;2019-03-13 08:59:53.986234
Nowoczesne jasne zadbane garaż Prądnik Czerwony;: Prądnik Czerwony;4 pokoje;598 000 ;70 ;8 543 /;https://www.otodom.pl/oferta/nowoczesne-jasne-zadbane-garaz-pradnik-czerwony-ID3VkxV.html#89e33f6554;2019-03-13 08:59:53.986234
Tylko do 16.03 miejsce garażowe gratis!;: Prądnik Biały;3 pokoje;357 519 ;50,15 ;7 129 /;https://www.otodom.pl/oferta/tylko-do-16-03-miejsce-garazowe-gratis-ID3VkuY.html#89e33f6554;2019-03-13 08:59:53.986234
Tylko do 16.03 miejsce garażowe gratis!;: Prądnik Biały;3 pokoje;365 571 ;49,91 ;7 325 /;https://www.otodom.pl/oferta/tylko-do-16-03-miejsce-garazowe-gratis-ID3VkuQ.html#89e33f6554;2019-03-13 08:59:53.986234
Promocja - miejsce garażowe gratis rabat 47.000;: Prądnik Biały;3 pokoje;376 259 ;52,91 ;7 111 /;https://www.otodom.pl/oferta/promocja-miejsce-garazowe-gratis-rabat-47-000zl-ID3VkuM.html#89e33f6554;2019-03-13 08:59:53.986234
Promocyjna cena - rabat 23 000;: ocień;3 pokoje;296 240 ;50,99 ;5 810 /;https://www.otodom.pl/oferta/promocyjna-cena-rabat-23-000zl-ID3VkuA.html#89e33f6554;2019-03-13 08:59:53.986234
108m,ul. Kazimierza Wielkiego, 5/5. Niegłupie.;: Krowodrza;5 pokoi;698 000 ;107,90 ;6 469 /;https://www.otodom.pl/oferta/108m-ul-kazimierza-wielkiego-5-5-nieglupie-ID3Vkne.html#89e33f6554;2019-03-13 08:59:53.986234
2 pokojowe ul. Strzelców,Śródmieście,P.Czerwony.;: Prądnik Czerwony;2 pokoje;268 000 ;32,03 ;8 367 /;https://www.otodom.pl/oferta/2-pokojowe-ul-strzelcow-srodmiescie-p-czerwony-ID3Vkna.html#89e33f6554;2019-03-13 08:59:53.986234
Wyłączność"32m,4/4"Strzelców-P.Czerwony.WartoKupić;: Prądnik Czerwony;1 pokój;220 000 ;32,01 ;6 873 /;https://www.otodom.pl/oferta/wylacznosc-32m-4-4-strzelcow-p-czerwony-wartokupic-ID3Vkn2.html#89e33f6554;2019-03-13 08:59:53.986234
GOTOWE 4 pok mieszkanie z ogrodem. SUPER CENA !;: małopolskie;4 pokoje;369 000 ;80 ;4 613 /;https://www.otodom.pl/oferta/gotowe-4-pok-mieszkanie-z-ogrodem-super-cena-ID3Vkfi.html#3f7ebb237a;2019-03-13 08:59:54.767614
Okazja! bezpośrednio od właściciela, wykończone;: Bronowice;2 pokoje;355 000 ;37 ;9 595 /;https://www.otodom.pl/oferta/okazja-bezposrednio-od-wlasciciela-wykonczone-ID3VkFi.html#3f7ebb237a;2019-03-13 08:59:54.767614
Bezpośr. inwestycyjne na krótki najem ul.Paulińska;: Kazimierz;1 pokój;437 000 ;33,69 ;12 971 /;https://www.otodom.pl/oferta/bezposr-inwestycyjne-na-krotki-najem-ul-paulinska-ID3Vjly.html#3f7ebb237a;2019-03-13 08:59:54.767614
Widokowe mieszkanie/4 pokoje z balkonem/Podgórze;: Podgórze;4 pokoje;520 200 ;76 ;6 845 /;https://www.otodom.pl/oferta/widokowe-mieszkanie-4-pokoje-z-balkonem-podgorze-ID3ViIc.html#3f7ebb237a;2019-03-13 08:59:54.767614
Okazja ul. Halszki 63 m2 trzypokojowe, logia;: Wola Duchacka;3 pokoje;310 000 ;63 ;4 921 /;https://www.otodom.pl/oferta/okazja-ul-halszki-63-m2-trzypokojowe-logia-ID3VipG.html#3f7ebb237a;2019-03-13 08:59:54.767614
Chopina/ Szymanowskiego, 90m2, 4pok, II piętro !!!;: Stare Miasto;4 pokoje;1 060 000 ;90,10 ;11 765 /;https://www.otodom.pl/oferta/chopina-szymanowskiego-90m2-4pok-ii-pietro-ID3VgMY.html#3f7ebb237a;2019-03-13 08:59:54.767614
Krowodrza-3 pokoje,osobna kuchnia,balkon, stan bdb;: Prądnik Biały;3 pokoje;415 000 ;64 ;6 484 /;https://www.otodom.pl/oferta/krowodrza-3-pokoje-osobna-kuchnia-balkon-stan-bdb-ID3Vkj6.html#3f7ebb237a;2019-03-13 08:59:54.767614
2 Osobne Pokoje - 32,54 M2 - 273 000  - Łobzów;: Łobzów;2 pokoje;273 000 ;32,54 ;8 390 /;https://www.otodom.pl/oferta/2-osobne-pokoje-32-54-m2-273-000-zl-lobzow-ID3VkbG.html#3f7ebb237a;2019-03-13 08:59:54.767614
2 Pokoje Z Opcją Na 2 Kawalerki + Balkon;: Łobzów;2 pokoje;324 000 ;39 ;8 308 /;https://www.otodom.pl/oferta/2-pokoje-z-opcja-na-2-kawalerki-balkon-ID3VkbK.html#3f7ebb237a;2019-03-13 08:59:54.767614
2 Pokoje - Dwustronne - 39 M2 - Cena 342 000 ;: Łobzów;2 pokoje;342 000 ;39 ;8 769 /;https://www.otodom.pl/oferta/2-pokoje-dwustronne-39-m2-cena-342-000-zl-ID3VkbC.html#3f7ebb237a;2019-03-13 08:59:54.767614
Świetna gotowa inwestycja/ Rondo Grzegórzeckie;: Grzegórzki;2 pokoje;410 000 ;46,70 ;8 779 /;https://www.otodom.pl/oferta/swietna-gotowa-inwestycja-rondo-grzegorzeckie-ID3Vkbm.html#3f7ebb237a;2019-03-13 08:59:54.767614
2 pok. mieszkanie 50m2 Komuny Paryskiej;: Kobierzyn;2 pokoje;379 000 ;50 ;7 580 /;https://www.otodom.pl/oferta/2-pok-mieszkanie-50m2-komuny-paryskiej-ID3Vk5V.html#3f7ebb237a;2019-03-13 08:59:54.767614
Mieszkanie, 46,43 , Kraków;: Olsza;2 pokoje;365 000 ;46,43 ;7 861 /;https://www.otodom.pl/oferta/mieszkanie-46-43-m-krakow-ID3VjWO.html#3f7ebb237a;2019-03-13 08:59:54.767614
Mieszkanie, 31,68 , Kraków;: Śródmieście;2 pokoje;465 000 ;31,68 ;14 678 /;https://www.otodom.pl/oferta/mieszkanie-31-68-m-krakow-ID3VjUM.html#3f7ebb237a;2019-03-13 08:59:54.767614
Bezpośrednio mieszkanie 47,52 poddasze, Bronowice;: Krowodrza;2 pokoje;310 000 ;47,52 ;6 524 /;https://www.otodom.pl/oferta/bezposrednio-mieszkanie-47-52-poddasze-bronowice-ID3VjSv.html#3f7ebb237a;2019-03-13 08:59:54.767614
Dąbie-Kawalerka po remoncie-balkon francuski;: małopolskie;1 pokój;235 000 ;25 ;9 400 /;https://www.otodom.pl/oferta/dabie-kawalerka-po-remoncie-balkon-francuski-ID3VjLm.html#3f7ebb237a;2019-03-13 08:59:54.767614
Ruczaj, 3 pokojowe , nowe, taras;: Ruczaj;3 pokoje;497 000 ;66 ;7 530 /;https://www.otodom.pl/oferta/ruczaj-3-pokojowe-nowe-taras-ID3VjIE.html#3f7ebb237a;2019-03-13 08:59:54.767614
Ładne 2 pokojowe mieszkanie do wykończenia;: Bieżanów;2 pokoje;270 000 ;53 ;5 094 /;https://www.otodom.pl/oferta/ladne-2-pokojowe-mieszkanie-do-wykonczenia-ID3VjHV.html#3f7ebb237a;2019-03-13 08:59:54.767614
Salwator- 2 pokojowe, zadbane, balkon;: Salwator;2 pokoje;409 990 ;43 ;9 535 /;https://www.otodom.pl/oferta/salwator-2-pokojowe-zadbane-balkon-ID3VjHe.html#3f7ebb237a;2019-03-13 08:59:54.767614
3 pok. -Bieżanów- 253906 ;: Bieżanów-Prokocim;2 pokoje;283 700 ;55,09 ;5 150 /;https://www.otodom.pl/oferta/3-pok-biezanow-253906-zl-ID3VjGc.html#3f7ebb237a;2019-03-13 08:59:54.767614
3 pok.- Bieżanów -ocień;: Bieżanów-Prokocim;3 pokoje;289 500 ;55,14 ;5 250 /;https://www.otodom.pl/oferta/3-pok-biezanow-zlocien-ID3VjG8.html#3f7ebb237a;2019-03-13 08:59:54.767614
Nowa Mikrokawalerka - 16 M2 - 115 000  - Łobzów;: Łobzów;1 pokój;163 000 ;16,50 ;9 879 /;https://www.otodom.pl/oferta/nowa-mikrokawalerka-16-m2-115-000-zl-lobzow-ID3VjFi.html#3f7ebb237a;2019-03-13 08:59:54.767614
Garsoniera + Balkon - 19 M2 - 191 000  - Łobzów;: Łobzów;1 pokój;190 000 ;19,10 ;9 948 /;https://www.otodom.pl/oferta/garsoniera-balkon-19-m2-191-000-zl-lobzow-ID3VjFe.html#3f7ebb237a;2019-03-13 08:59:54.767614
Mistrzejowice-Okulickiego-nowe,urządzone, balkon;: Mistrzejowice;2 pokoje;349 000 ;47,50 ;7 347 /;https://www.otodom.pl/oferta/mistrzejowice-okulickiego-nowe-urzadzone-balkon-ID3VjEg.html#3f7ebb237a;2019-03-13 08:59:54.767614
Prusa - 64m2 - 2 pokoje, jasna kuchnia, balkon.;: Salwator;2 pokoje;595 000 ;64 ;9 297 /;https://www.otodom.pl/oferta/prusa-64m2-2-pokoje-jasna-kuchnia-balkon-ID3VjCY.html#3f7ebb237a;2019-03-13 08:59:54.767614
Bieżanów-2 pok, nowe, urządzone-kameralny budynek;: Bieżanów-Prokocim;2 pokoje;339 000 ;46 ;7 370 /;https://www.otodom.pl/oferta/biezanow-2-pok-nowe-urzadzone-kameralny-budynek-ID3VjCE.html#3f7ebb237a;2019-03-13 08:59:54.767614
Do sprzedaży kawalerka w Nowej Hucie;: Nowa Huta;1 pokój;229 000 ;30 ;7 633 /;https://www.otodom.pl/oferta/do-sprzedazy-kawalerka-w-nowej-hucie-ID3VjB6.html#3f7ebb237a;2019-03-13 08:59:54.767614
1-pokojowe mieszkanie 35m2 Mistrzejowice Nowe;: Mistrzejowice Nowe;1 pokój;267 000 ;35 ;7 629 /;https://www.otodom.pl/oferta/1-pokojowe-mieszkanie-35m2-mistrzejowice-nowe-ID3VjyU.html#3f7ebb237a;2019-03-13 08:59:54.767614
Mieszkanie 3 pok. 63m2 ul.Głowackiego;: Bronowice Małe;3 pokoje;567 000 ;63 ;9 000 /;https://www.otodom.pl/oferta/mieszkanie-3-pok-63m2-ul-glowackiego-ID3VjyY.html#3f7ebb237a;2019-03-13 08:59:54.767614
GOTOWE 4 pok mieszkanie z ogrodem. SUPER CENA !;: małopolskie;4 pokoje;369 000 ;80 ;4 613 /;https://www.otodom.pl/oferta/gotowe-4-pok-mieszkanie-z-ogrodem-super-cena-ID3Vkfi.html#85fbb29208;2019-03-13 08:59:55.830329
Okazja! bezpośrednio od właściciela, wykończone;: Bronowice;2 pokoje;355 000 ;37 ;9 595 /;https://www.otodom.pl/oferta/okazja-bezposrednio-od-wlasciciela-wykonczone-ID3VkFi.html#85fbb29208;2019-03-13 08:59:55.830329
Bezpośr. inwestycyjne na krótki najem ul.Paulińska;: Kazimierz;1 pokój;437 000 ;33,69 ;12 971 /;https://www.otodom.pl/oferta/bezposr-inwestycyjne-na-krotki-najem-ul-paulinska-ID3Vjly.html#85fbb29208;2019-03-13 08:59:55.830329
Bezpośrednio, Litewska, 2pok, 32 m2, balkon, winda;: Krowodrza;2 pokoje;349 000 ;32,14 ;10 859 /;https://www.otodom.pl/oferta/bezposrednio-litewska-2pok-32-m2-balkon-winda-ID3ViIE.html#85fbb29208;2019-03-13 08:59:55.830329
Sprzedam mieszkanie Kraków;: Mistrzejowice Nowe;1 pokój;267 000 ;35,33 ;7 557 /;https://www.otodom.pl/oferta/sprzedam-mieszkanie-krakow-ID3Vh9C.html#85fbb29208;2019-03-13 08:59:55.830329
Chopina/ Szymanowskiego, 90m2, 4pok, II piętro !!!;: Stare Miasto;4 pokoje;1 060 000 ;90,10 ;11 765 /;https://www.otodom.pl/oferta/chopina-szymanowskiego-90m2-4pok-ii-pietro-ID3VgMY.html#85fbb29208;2019-03-13 08:59:55.830329
2 pok. mieszkanie 48m2;: Olsza;2 pokoje;350 000 ;48 ;7 292 /;https://www.otodom.pl/oferta/2-pok-mieszkanie-48m2-ID3VjyQ.html#85fbb29208;2019-03-13 08:59:55.830329
3-pokojowe mieszkanie 68m2 ul.Jerzego Zawieyskiego;: Mistrzejowice;3 pokoje;390 000 ;68,40 ;5 702 /;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-68m2-ul-jerzego-zawieyskiego-ID3VjyM.html#85fbb29208;2019-03-13 08:59:55.830329
3-pokojowe mieszkanie na Łobzowie;: Prądnik Biały;3 pokoje;497 500 ;49,90 ;9 970 /;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-lobzowie-ID3VjvE.html#85fbb29208;2019-03-13 08:59:55.830329
Dębniki- Apartament z gwarantowanym czynszem najmu;: Dębniki;4 pokoje;620 000 ;46 ;13 478 /;https://www.otodom.pl/oferta/debniki-apartament-z-gwarantowanym-czynszem-najmu-ID3VjuA.html#85fbb29208;2019-03-13 08:59:55.830329
Studio z 15m balkonem ul. Radzikowskiego;: Bronowice;1 pokój;240 000 ;25 ;9 600 /;https://www.otodom.pl/oferta/studio-z-15m-balkonem-ul-radzikowskiego-ID3Vjuv.html#85fbb29208;2019-03-13 08:59:55.830329
Do odświeżenia, 2 pokoje, Azory, Łobzów Sk!;: Prądnik Biały;2 pokoje;320 000 ;38 ;8 421 /;https://www.otodom.pl/oferta/do-odswiezenia-2-pokoje-azory-lobzow-sk-ID3Vjs0.html#85fbb29208;2019-03-13 08:59:55.830329
Mieszkanie, 33 , Kraków;: Prądnik Biały;2 pokoje;270 000 ;33 ;8 182 /;https://www.otodom.pl/oferta/mieszkanie-33-m-krakow-ID3Vjni.html#85fbb29208;2019-03-13 08:59:55.830329
Lokal mieszkalny Kraków, Podgórze, Kliny;: Kliny-Zacisze;3 pokoje;375 000 ;83 ;4 518 /;https://www.otodom.pl/oferta/lokal-mieszkalny-krakow-podgorze-kliny-ID3VjjC.html#85fbb29208;2019-03-13 08:59:55.830329
3 pokojowe mieszkanie na Starym Mieście.;: małopolskie;3 pokoje;748 000 ;95,94 ;7 797 /;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-starym-miescie-ID3VjjV.html#85fbb29208;2019-03-13 08:59:55.830329
Grzegórzki 3-Pokojowe 68M2;: Grzegórzki;3 pokoje;600 000 ;68 ;8 824 /;https://www.otodom.pl/oferta/grzegorzki-3-pokojowe-68m2-ID3VjhC.html#85fbb29208;2019-03-13 08:59:55.830329
Na sprzedaż atrakcyjne, dwupokojowe mieszkanie na;: Kazimierz;2 pokoje;570 000 ;60 ;9 500 /;https://www.otodom.pl/oferta/na-sprzedaz-atrakcyjne-dwupokojowe-mieszkanie-na-ID3VjgU.html#85fbb29208;2019-03-13 08:59:55.830329
Mieszkania w okolicy Sądu po generalnym remoncie;: Olsza;1 pokój;269 000 ;21,30 ;12 629 /;https://www.otodom.pl/oferta/mieszkania-w-okolicy-sadu-po-generalnym-remoncie-ID3VjcI.html#85fbb29208;2019-03-13 08:59:55.830329
Gotowe 2 pokoje, Bronowice;: Bronowice Małe;2 pokoje;377 049,60 ;43,64 ;8 640 /;https://www.otodom.pl/oferta/gotowe-2-pokoje-bronowice-ID3Vjc4.html#85fbb29208;2019-03-13 08:59:55.830329
Kraków Centrum/Łobzów 49M2 3-Pokojowe.;: Łobzów;3 pokoje;440 000 ;49,70 ;8 853 /;https://www.otodom.pl/oferta/krakow-centrum-lobzow-49m2-3-pokojowe-ID3Vj6U.html#85fbb29208;2019-03-13 08:59:55.830329
Ruczaj/os.Europejskie 65m2 w bloku z cegły, garaż.;: Zaborze;3 pokoje;470 000 ;65 ;7 231 /;https://www.otodom.pl/oferta/ruczaj-os-europejskie-65m2-w-bloku-z-cegly-garaz-ID3Vj6Q.html#85fbb29208;2019-03-13 08:59:55.830329
Łagiewniki/Cegielniana 2 Lub 3 Pokoje Z Loggią.;: Łagiewniki;2 pokoje;352 000 ;53,21 ;6 615 /;https://www.otodom.pl/oferta/lagiewniki-cegielniana-2-lub-3-pokoje-z-loggia-ID3Vj6M.html#85fbb29208;2019-03-13 08:59:55.830329
Krowodrza 66M2, 3 Lub 4 Pokoje,Blok Cegła.;: Krowodrza Górka;3 pokoje;449 000 ;65,70 ;6 834 /;https://www.otodom.pl/oferta/krowodrza-66m2-3-lub-4-pokoje-blok-cegla-ID3Vj6I.html#85fbb29208;2019-03-13 08:59:55.830329
Mistrzejowice 3 Pok. 56M2 ,Ładny Rozkład.;: Mistrzejowice;3 pokoje;309 000 ;57,34 ;5 389 /;https://www.otodom.pl/oferta/mistrzejowice-3-pok-56m2-ladny-rozklad-ID3Vj6A.html#85fbb29208;2019-03-13 08:59:55.830329
Śródmieście/Ugorek 2 Pokoje,Loggia,Jasna Kuch.;: Wieczysta;2 pokoje;325 000 ;35,78 ;9 083 /;https://www.otodom.pl/oferta/srodmiescie-ugorek-2-pokoje-loggia-jasna-kuch-ID3Vj6E.html#85fbb29208;2019-03-13 08:59:55.830329
Ruczaj 50M2,2-Pokojowe Z Tarasem 50M2, Blok Cegła!;: Zaborze;2 pokoje;419 000 ;50 ;8 380 /;https://www.otodom.pl/oferta/ruczaj-50m2-2-pokojowe-z-tarasem-50m2-blok-cegla-ID3Vj6s.html#85fbb29208;2019-03-13 08:59:55.830329
Krowodrza/Żabiniec 66M2, 1 Piętro, Blok Cegła.;: Żabiniec;3 pokoje;483 000 ;65,90 ;7 329 /;https://www.otodom.pl/oferta/krowodrza-zabiniec-66m2-1-pietro-blok-cegla-ID3Vj6v.html#85fbb29208;2019-03-13 08:59:55.830329
Śródmieście/Olsza 63M2,Ustawne Mieszkanie,Loggia.;: Olsza;3 pokoje;420 000 ;63,70 ;6 593 /;https://www.otodom.pl/oferta/srodmiescie-olsza-63m2-ustawne-mieszkanie-loggia-ID3Vj6o.html#85fbb29208;2019-03-13 08:59:55.830329
Os.Kliny/Borkowska 75M2, 2 Balkony, Blok Cegła.;: Kliny-Zacisze;4 pokoje;430 000 ;74,50 ;5 772 /;https://www.otodom.pl/oferta/os-kliny-borkowska-75m2-2-balkony-blok-cegla-ID3Vj6k.html#85fbb29208;2019-03-13 08:59:55.830329
GOTOWE 4 pok mieszkanie z ogrodem. SUPER CENA !;: małopolskie;4 pokoje;369 000 ;80 ;4 613 /;https://www.otodom.pl/oferta/gotowe-4-pok-mieszkanie-z-ogrodem-super-cena-ID3Vkfi.html#d245b9f81f;2019-03-13 08:59:56.674201
Bezpośr. inwestycyjne na krótki najem ul.Paulińska;: Kazimierz;1 pokój;437 000 ;33,69 ;12 971 /;https://www.otodom.pl/oferta/bezposr-inwestycyjne-na-krotki-najem-ul-paulinska-ID3Vjly.html#d245b9f81f;2019-03-13 08:59:56.674201
Okazja! bezpośrednio od właściciela, wykończone;: Bronowice;2 pokoje;355 000 ;37 ;9 595 /;https://www.otodom.pl/oferta/okazja-bezposrednio-od-wlasciciela-wykonczone-ID3VkFi.html#d245b9f81f;2019-03-13 08:59:56.674201
Bezpośrednio, Litewska, 2pok, 32 m2, balkon, winda;: Krowodrza;2 pokoje;349 000 ;32,14 ;10 859 /;https://www.otodom.pl/oferta/bezposrednio-litewska-2pok-32-m2-balkon-winda-ID3ViIE.html#d245b9f81f;2019-03-13 08:59:56.674201
Okazja ul. Halszki 63 m2 trzypokojowe, logia;: Wola Duchacka;3 pokoje;310 000 ;63 ;4 921 /;https://www.otodom.pl/oferta/okazja-ul-halszki-63-m2-trzypokojowe-logia-ID3VipG.html#d245b9f81f;2019-03-13 08:59:56.674201
Śródmieście/Prądnik 72M2, Blok Z Cegły.;: Prądnik Czerwony;3 pokoje;399 000 ;71,60 ;5 573 /;https://www.otodom.pl/oferta/srodmiescie-pradnik-72m2-blok-z-cegly-ID3Vj68.html#d245b9f81f;2019-03-13 08:59:56.674201
Mieszkanie, 55 , Kraków;: Bieńczyce;3 pokoje;319 000 ;55 ;5 800 /;https://www.otodom.pl/oferta/mieszkanie-55-m-krakow-ID3Vj56.html#d245b9f81f;2019-03-13 08:59:56.674201
Mieszkanie, 38 , Kraków;: Azory;2 pokoje;320 000 ;38 ;8 421 /;https://www.otodom.pl/oferta/mieszkanie-38-m-krakow-ID3Vj5a.html#d245b9f81f;2019-03-13 08:59:56.674201
Jasne mieszkanie/lokal przy Wiśle, świetny rozkład;: Dębniki;5 pokoi;987 000 ;129,60 ;7 616 /;https://www.otodom.pl/oferta/jasne-mieszkanie-lokal-przy-wisle-swietny-rozklad-ID3Vj1V.html#d245b9f81f;2019-03-13 08:59:56.674201
