opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data
2 oddzielne pokoje ok 49m2 Dębniki-kliny;: Kliny-Zacisze;2 pokoje;324 000 ;49 ;6 612 /;https://www.otodom.pl/oferta/2-oddzielne-pokoje-ok-49m2-debniki-kliny-ID3WZfK.html#89e33f6554;2019-03-07 15:26:00.410149
Sprzedam 2 apartamenty na Topolowej pod inwestycje;: Stare Miasto;3 pokoje;790 000 ;78,50 ;10 064 /;https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554;2019-03-07 15:26:00.410149
Zamieszkaj na Dąbiu !;: Dąbie;2 pokoje;386 100 ;39 ;9 900 /;https://www.otodom.pl/oferta/zamieszkaj-na-dabiu-ID3WZ7u.html#89e33f6554;2019-03-07 15:26:00.410149
2-pokojowe z Ogródkiem, 43m2, Wola Justowska;: Bronowice;2 pokoje;416 000 ;43 ;9 674 /;https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554;2019-03-07 15:26:00.410149
Pl. Bohaterów Getta, 2 pokoje !!!;: Stare Podgórze;2 pokoje;475 000 ;43,30 ;10 970 /;https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554;2019-03-07 15:26:00.410149
Kraków, Śródmieście, Olsza – ulica Idzikowskiego;: Śródmieście;2 pokoje;290 000 ;25,09 ;11 558 /;https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554;2019-03-07 15:26:00.411152
w sąsiedztwie Rynku Głównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777 000 ;87,20 ;8 911 /;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#3f7ebb237a;2019-03-07 15:26:01.294507
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745 000 ;52,50 ;14 190 /;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#3f7ebb237a;2019-03-07 15:26:01.294507
Bezpośrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234 000 ;37 ;6 324 /;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#3f7ebb237a;2019-03-07 15:26:01.294507
Bezpośrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228 000 ;25 ;9 120 /;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a;2019-03-07 15:26:01.294507
Olsza II - kawalerka z miejscem postojowym;: Olsza;1 pokój;203 899 ;22,91 ;8 900 /;https://www.otodom.pl/oferta/olsza-ii-kawalerka-z-miejscem-postojowym-ID3WZqU.html#3f7ebb237a;2019-03-07 15:26:01.294507
Kawalerka Kraków Podgórze;: Podgórze;1 pokój;180 000 ;17,60 ;10 227 /;https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#3f7ebb237a;2019-03-07 15:26:01.294507
Kawalerka po remoncie (dzielnica Swoszowice);: Swoszowice;1 pokój;167 000 ;20,30 ;8 227 /;https://www.otodom.pl/oferta/kawalerka-po-remoncie-dzielnica-swoszowice-ID3WWcU.html#3f7ebb237a;2019-03-07 15:26:01.294507
3 pokoje 59m2 nowe budownictwo-Śródmieście;: Śródmieście;3 pokoje;499 000 ;59,70 ;8 358 /;https://www.otodom.pl/oferta/3-pokoje-59m2-nowe-budownictwo-srodmiescie-ID3WZ2U.html#3f7ebb237a;2019-03-07 15:26:01.295509
3 pokoje 60m2 nowe budownictwo-Śródmieście;: Śródmieście;3 pokoje;515 000 ;60,61 ;8 497 /;https://www.otodom.pl/oferta/3-pokoje-60m2-nowe-budownictwo-srodmiescie-ID3WZ2Q.html#3f7ebb237a;2019-03-07 15:26:01.295509
