,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,ulica,lokator_ulica_dzielnica,geo_location,rodzaj,point,latitude,longitude,altitude
11811,Apartamentowiec w okolicy  Tynieckiej,: Dębniki,10.0,1 950 000 zł,365.0,5342.0,https://www.otodom.pl/oferta/apartamentowiec-w-okolicy-ul-tynieckiej-ID42P1A.html#8f3e86f71d,2019-10-08 15:02:24.483973,Tyniecki,Kraków : Dębniki Tyniecki,"Tyniecki, 160, Tyniecka, Kostrze, Dębniki, Kraków, województwo małopolskie, 30-381, Polska",ulica,"(50.02706945, 19.844293646524815, 0.0)",50.02706945,19.844293646524815,0.0
11813,Mieszkanie 3 pokoje blisko centrum Bronowice,: Bronowice,3.0,395 000 zł,44.85,8807.0,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-blisko-centrum-bronowice-ID42P1q.html#8f3e86f71d,2019-10-08 15:02:24.483973,Bronowicka,Kraków : Bronowice Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-091, Polska",ulica,"(50.079245, 19.8970729, 0.0)",50.079245,19.8970729,0.0
11818,Nowoczesne 48 m2 w samym sercu Krakowa  Łokietka,: Krowodrza,3.0,459 000 zł,48.0,9563.0,https://www.otodom.pl/oferta/nowoczesne-48-m2-w-samym-sercu-krakowa-lokietka-ID42OcE.html#8f3e86f71d,2019-10-08 15:02:24.485007,Krakowa,Kraków : Krowodrza Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
11819,Apartament Bronowice Wielkie stan deweloperski cen,": Bronowice, Bronowice Małe",5.0,"918 259,20 zł",106.28,8640.0,https://www.otodom.pl/oferta/apartament-bronowice-wielkie-stan-deweloperski-cen-ID42OUR.html#8f3e86f71d,2019-10-08 15:02:24.485007,Bronowicka,"Kraków : Bronowice, Bronowice Małe Bronowicka","Bronowicka, Bronowice Małe, Bronowice, Kraków, województwo małopolskie, 30-139, Polska",ulica,"(50.0816928, 19.8902943, 0.0)",50.0816928,19.8902943,0.0
11820,Apartament Bronowice Wielkie stan deweloperski cen,": Bronowice, Bronowice Małe",3.0,"722 908,80 zł",83.67,8640.0,https://www.otodom.pl/oferta/apartament-bronowice-wielkie-stan-deweloperski-cen-ID42OUQ.html#8f3e86f71d,2019-10-08 15:02:24.485007,Bronowicka,"Kraków : Bronowice, Bronowice Małe Bronowicka","Bronowicka, Bronowice Małe, Bronowice, Kraków, województwo małopolskie, 30-139, Polska",ulica,"(50.0816928, 19.8902943, 0.0)",50.0816928,19.8902943,0.0
11822,Apartament Bronowice Wielkie stan deweloperski cen,": Bronowice, Bronowice Małe",5.0,940 032 zł,108.8,8640.0,https://www.otodom.pl/oferta/apartament-bronowice-wielkie-stan-deweloperski-cen-ID42OUM.html#8f3e86f71d,2019-10-08 15:02:24.485007,Bronowicka,"Kraków : Bronowice, Bronowice Małe Bronowicka","Bronowicka, Bronowice Małe, Bronowice, Kraków, województwo małopolskie, 30-139, Polska",ulica,"(50.0816928, 19.8902943, 0.0)",50.0816928,19.8902943,0.0
11841,50M2 Oddane Do Użytkowana Nowa Inwestycja Ruczaj,": Dębniki, Ruczaj",2.0,399 000 zł,49.87,8001.0,https://www.otodom.pl/oferta/50m2-oddane-do-uzytkowana-nowa-inwestycja-ruczaj-ID42M4p.html#413b82700b,2019-10-08 15:02:25.549097,Ruczaj,"Kraków : Dębniki, Ruczaj Ruczaj","Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska",ulica,"(50.0259495, 19.9198508, 0.0)",50.0259495,19.9198508,0.0
11848,Łokietka Apartments / Nowa inwestycja DZMT,": Prądnik Biały, Tonie",5.0,699 000 zł,98.52,7095.0,https://www.otodom.pl/oferta/lokietka-apartments-nowa-inwestycja-dzmt-ID42OOR.html#413b82700b,2019-10-08 15:02:25.550099,Łokietka,"Kraków : Prądnik Biały, Tonie Łokietka","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-268, Polska",ulica,"(50.1180658, 19.8923765, 0.0)",50.1180658,19.8923765,0.0
11850,Łokietka Apartments / Nowa inwestycja DZMT,": Prądnik Biały, Tonie",6.0,799 000 zł,116.69,6847.0,https://www.otodom.pl/oferta/lokietka-apartments-nowa-inwestycja-dzmt-ID42ONT.html#413b82700b,2019-10-08 15:02:25.550099,Łokietka,"Kraków : Prądnik Biały, Tonie Łokietka","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-268, Polska",ulica,"(50.1180658, 19.8923765, 0.0)",50.1180658,19.8923765,0.0
11855,Łokietka Apartments / Nowa inwestycja DZMT/ Tonie,": Prądnik Biały, Tonie",4.0,699 000 zł,96.39,7252.0,https://www.otodom.pl/oferta/lokietka-apartments-nowa-inwestycja-dzmt-tonie-ID42ON9.html#413b82700b,2019-10-08 15:02:25.551102,Łokietka,"Kraków : Prądnik Biały, Tonie Łokietka","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-268, Polska",ulica,"(50.1180658, 19.8923765, 0.0)",50.1180658,19.8923765,0.0
11868,Kawalerka do REMONTU * Os. Krakowiaków,: Nowa Huta,1.0,157 000 zł,20.0,7850.0,https://www.otodom.pl/oferta/kawalerka-do-remontu-os-krakowiakow-ID42OGD.html#be9411e5cb,2019-10-08 15:02:26.447601,Krakowiaków,Kraków : Nowa Huta Krakowiaków,"Osiedle Krakowiaków, Nowa Huta, Kraków, województwo małopolskie, Polska",ulica,"(50.0829927, 20.0378038, 0.0)",50.0829927,20.0378038,0.0
11870,Mistrzejowice/Os. Piastów 57M2  2 Piętro Blok 4 P.,: Mistrzejowice,4.0,425 000 zł,56.64,7504.0,https://www.otodom.pl/oferta/mistrzejowice-os-piastow-57m2-2-pietro-blok-4-p-ID42OGa.html#be9411e5cb,2019-10-08 15:02:26.447601,Mistrzejowicka,Kraków : Mistrzejowice Mistrzejowicka,"Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-638, Polska",ulica,"(50.094553, 20.0276976, 0.0)",50.094553,20.0276976,0.0
11874,2 pokojowe mieszkanie  Prądnik Czerwony,: Prądnik Czerwony,2.0,404 000 zł,36.0,11222.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-pradnik-czerwony-ID42OBp.html#be9411e5cb,2019-10-08 15:02:26.448636,Czerwona,Kraków : Prądnik Czerwony Czerwona,"Czerwona, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-424, Polska",ulica,"(50.0849372, 19.9554073, 0.0)",50.0849372,19.9554073,0.0
11876,3 pokojowe mieszkanie  Prądnik Czerwony,: Prądnik Czerwony,3.0,395 000 zł,52.17,7571.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-pradnik-czerwony-ID42OBr.html#be9411e5cb,2019-10-08 15:02:26.448636,Czerwona,Kraków : Prądnik Czerwony Czerwona,"Czerwona, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-424, Polska",ulica,"(50.0849372, 19.9554073, 0.0)",50.0849372,19.9554073,0.0
11909,*Kliny Borkowskie*  3  bne pokoje  dwa balkony.,": Dębniki, Kliny-Zacisze",3.0,530 952 zł,71.76,7399.0,https://www.otodom.pl/oferta/kliny-borkowskie-3-osobne-pokoje-dwa-balkony-ID42OdK.html#7354e34ca3,2019-10-08 15:02:27.450043,Borkowska,"Kraków : Dębniki, Kliny-Zacisze Borkowska","Borkowska, Kliny Zacisze, Swoszowice, Kraków, województwo małopolskie, 32, Polska",ulica,"(50.0041101, 19.9058179, 0.0)",50.0041101,19.9058179,0.0
11915,Apartament 50m z tarasem  2 pokoje  Ruczaj,: Dębniki,2.0,436 000 zł,50.0,8720.0,https://www.otodom.pl/oferta/apartament-50m-z-tarasem-2-pokoje-ruczaj-ID42OcM.html#7354e34ca3,2019-10-08 15:02:27.451045,Ruczaj,Kraków : Dębniki Ruczaj,"Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska",ulica,"(50.0259495, 19.9198508, 0.0)",50.0259495,19.9198508,0.0
11926,Łokietka Apartments / bezpośrednio/ 6 pokoi/,": Prądnik Biały, Tonie",6.0,799 000 zł,112.85,7080.0,https://www.otodom.pl/oferta/lokietka-apartments-bezposrednio-6-pokoi-ID42ObG.html#9a2969ff80,2019-10-08 15:02:28.451931,Łokietka,"Kraków : Prądnik Biały, Tonie Łokietka","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-268, Polska",ulica,"(50.1180658, 19.8923765, 0.0)",50.1180658,19.8923765,0.0
11928,Wiślane Tarasy 2.0 dwupokojowy apartament,: Grzegórzki,2.0,880 000 zł,49.0,17959.0,https://www.otodom.pl/oferta/wislane-tarasy-2-0-dwupokojowy-apartament-ID42OaQ.html#9a2969ff80,2019-10-08 15:02:28.451931,Turbasy,Kraków : Grzegórzki Turbasy,"Józefa Turbasy, Zagumnie, Podgórze, Kraków, województwo małopolskie, 30-705, Polska",ulica,"(50.0463579, 19.9714356, 0.0)",50.0463579,19.9714356,0.0
11932,2 pokoje Wójtowska do wejścia,: Krowodrza,2.0,429 000 zł,36.0,11917.0,https://www.otodom.pl/oferta/2-pokoje-wojtowska-do-wejscia-ID42OaI.html#9a2969ff80,2019-10-08 15:02:28.451931,Wójtowska,Kraków : Krowodrza Wójtowska,"Wójtowska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-019, Polska",ulica,"(50.0758204, 19.9266549, 0.0)",50.0758204,19.9266549,0.0
11937,Łokietka Apartments / Nowa inwestycja DZMT,": Prądnik Biały, Tonie",5.0,749 000 zł,102.61,7299.0,https://www.otodom.pl/oferta/lokietka-apartments-nowa-inwestycja-dzmt-ID42Oa9.html#9a2969ff80,2019-10-08 15:02:28.452931,Łokietka,"Kraków : Prądnik Biały, Tonie Łokietka","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-268, Polska",ulica,"(50.1180658, 19.8923765, 0.0)",50.1180658,19.8923765,0.0
11945,Apartament  Wola Justowska  4 pokoje  nowe!,": Zwierzyniec, Wola Justowska",4.0,883 000 zł,73.0,12096.0,https://www.otodom.pl/oferta/apartament-wola-justowska-4-pokoje-nowe-ID42O4Q.html#9a2969ff80,2019-10-08 15:02:28.453937,Justowska,"Kraków : Zwierzyniec, Wola Justowska Justowska","Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-223, Polska",ulica,"(50.0667259, 19.8687951, 0.0)",50.0667259,19.8687951,0.0
