,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
1575,Mieszkanie 3 pok z Ogrodem 80m2. Bronowice,: Bronowice Wielkie,3.0,364 500 ,48.0,7594.0,https://www.otodom.pl/oferta/mieszkanie-3-pok-z-ogrodem-80m2-bronowice-ID3VDcQ.html#24f2434338,2019-03-18 09:21:10.402455,"Krakow , : Bronowice Wielkie",Ogrodem,Kraków Ogrodem,"Za Ogrodem, Grado schody i balutrady, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.0986422, 20.1175645, 0.0)",50.0986422,20.1175645,0.0
1576,2 pokoje z widokim na zieleń ! Bronowice,: Bronowice Wielkie,2.0,259 000 ,33.0,7848.0,https://www.otodom.pl/oferta/2-pokoje-z-widokim-na-zielen-bronowice-ID3VDcM.html#24f2434338,2019-03-18 09:21:10.402455,"Krakow , : Bronowice Wielkie",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-122, Polska",ulica,"(50.0775327, 19.9016366, 0.0)",50.0775327,19.9016366,0.0
1583,Bronowice 3 Pokojowe 75 7M2 1 Piętro,: Bronowice Małe,3.0,630 000 ,75.7,8322.0,https://www.otodom.pl/oferta/bronowice-3-pokojowe-75-7m2-1-pietro-ID3VylC.html#b7c17405d5,2019-03-18 09:21:12.565401,"Krakow , : Bronowice Małe",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-122, Polska",ulica,"(50.0775327, 19.9016366, 0.0)",50.0775327,19.9016366,0.0
1587,Ul. Stojałowskiego 15  po generalnym remoncie !,: Kurdwanów,3.0,420 000 ,61.0,6885.0,https://www.otodom.pl/oferta/ul-stojalowskiego-15-po-generalnym-remoncie-ID3VCOk.html#b7c17405d5,2019-03-18 09:21:12.565902,"Krakow , : Kurdwanów",Stojałowskiego,Kraków Stojałowskiego,"Stojałowskiego, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, Polska",ulica,"(50.00499825, 19.9559136998726, 0.0)",50.00499825,19.9559136998726,0.0
1595,Stare Miasto Basztowa piękny apartament super cena,: Kleparz,2.0,669 000 ,68.0,9838.0,https://www.otodom.pl/oferta/stare-miasto-basztowa-piekny-apartament-super-cena-ID3VCsM.html#b7c17405d5,2019-03-18 09:21:12.566905,"Krakow , : Kleparz",Starego,Kraków Starego,"Zygmunta Starego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-198, Polska",ulica,"(50.0801801, 19.8536978, 0.0)",50.0801801,19.8536978,0.0
1599,Eng | Stare Miasto | Kazimierz | Kawalerka 23m2,: Stare Miasto,1.0,250 000 ,23.0,10870.0,https://www.otodom.pl/oferta/eng-stare-miasto-kazimierz-kawalerka-23m2-ID3VBPC.html#b7c17405d5,2019-03-18 09:21:12.567406,"Krakow , : Stare Miasto",Starego,Kraków Starego,"Zygmunta Starego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-198, Polska",ulica,"(50.0801801, 19.8536978, 0.0)",50.0801801,19.8536978,0.0
1602,  Ceglarska  Dwupokojowe  Bez Pośredników,: Podgórze,2.0,475 000 ,54.0,8796.0,https://www.otodom.pl/oferta/ul-ceglarska-dwupokojowe-bez-posrednikow-ID3VBn2.html#b7c17405d5,2019-03-18 09:21:12.567406,"Krakow , : Podgórze",Ceglarska,Kraków Ceglarska,"Ceglarska, Osiedle Podwawelskie, Dębniki, Kraków, województwo małopolskie, 30-347, Polska",ulica,"(50.0375421, 19.9248673, 0.0)",50.0375421,19.9248673,0.0
1604,2 pokojowe mieszkanie z balkonem   Czyżewskiego!,: Krowodrza,2.0,379 000 ,42.93,8828.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-balkonem-czyzewskiego-ID3VAUI.html#b7c17405d5,2019-03-18 09:21:12.567907,"Krakow , : Krowodrza",Czyżewskiego,Kraków Czyżewskiego,"Tytusa Czyżewskiego, Łobzów, Krowodrza, Kraków, województwo małopolskie, 31-316, Polska",ulica,"(50.0813934, 19.9118111, 0.0)",50.0813934,19.9118111,0.0
1607,  Polonijna 1  pokojowe   28m2,: Koówek,1.0,245 000 ,28.0,8750.0,https://www.otodom.pl/oferta/ul-polonijna-1-pokojowe-28m2-ID3VAFS.html#b7c17405d5,2019-03-18 09:21:12.568408,"Krakow , : Koówek",Kolonijna,Kraków Kolonijna,"Kolonijna, Drożdżownia, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-864, Polska",ulica,"(50.0104887, 20.0297222, 0.0)",50.0104887,20.0297222,0.0
1608, Piwna   Kawalerka   Sprzedam BEZPOŚREDNIO,: Podgórze,1.0,469 000 ,38.48,12188.0,https://www.otodom.pl/oferta/ul-piwna-kawalerka-sprzedam-bezposrednio-ID3VABS.html#b7c17405d5,2019-03-18 09:21:12.568408,"Krakow , : Podgórze",Piwna,Kraków Piwna,"Piwna, Podgórze, Kraków, województwo małopolskie, 30-530, Polska",ulica,"(50.0469509, 19.9532162, 0.0)",50.0469509,19.9532162,0.0
1617,Salwator   Kościuszki   43 5m2  2 pokoje  winda,: Salwator,2.0,485 000 ,43.5,11149.0,https://www.otodom.pl/oferta/salwator-kosciuszki-43-5m2-2-pokoje-winda-ID3VApy.html#461619a5cf,2019-03-18 09:21:14.708102,"Krakow , : Salwator",Salwatorska,Kraków Salwatorska,"Salwatorska, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-109, Polska",ulica,"(50.0559857, 19.9189418, 0.0)",50.0559857,19.9189418,0.0
1618,Na sprzedaż 2 pok. mieszkanie przy Placu Inwalidów,: Stare Miasto,2.0,459 000 ,36.5,12575.0,https://www.otodom.pl/oferta/na-sprzedaz-2-pok-mieszkanie-przy-placu-inwalidow-ID3VAlK.html#461619a5cf,2019-03-18 09:21:14.708603,"Krakow , : Stare Miasto",Inwalidów,Kraków Inwalidów,"Spółdzielnia Inwalidów im. E. Dembowskiego, Krowodrza, Kraków, województwo małopolskie, Polska",ulica,"(50.0830139, 19.9282603908659, 0.0)",50.0830139,19.9282603908659,0.0
1625,Na sprzedaż 2/3 pokojowe mieszkanie Wola Duchacka ,: Wola Duchacka,2.0,375 000 ,53.0,7075.0,https://www.otodom.pl/oferta/na-sprzedaz-2-3-pokojowe-mieszkanie-wola-duchacka-ID3VA9a.html#461619a5cf,2019-03-18 09:21:14.710107,"Krakow , : Wola Duchacka",Duchacka,Kraków Duchacka,"Duchacka, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-426, Polska",ulica,"(50.0842566, 19.9535619, 0.0)",50.0842566,19.9535619,0.0
1626,Sprzedam 33m2 mieszkanie na krakowskiej Olszy,: Ugorek,2.0,247 000 ,33.0,7485.0,https://www.otodom.pl/oferta/sprzedam-33m2-mieszkanie-na-krakowskiej-olszy-ID3VA4M.html#461619a5cf,2019-03-18 09:21:14.710107,"Krakow , : Ugorek",Nałkowskiej,Kraków Nałkowskiej,"Nałkowskiej, Leona Petrażyckiego, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska",ulica,"(49.9804554, 19.8731171, 0.0)",49.9804554,19.8731171,0.0
1628,Mistrzejowice    Piastów  nowe   do zamieszkania,: Mistrzejowice,3.0,499 000 ,58.0,8603.0,https://www.otodom.pl/oferta/mistrzejowice-os-piastow-nowe-do-zamieszkania-ID3VA3y.html#461619a5cf,2019-03-18 09:21:14.710609,"Krakow , : Mistrzejowice",Mistrzejowicka,Kraków Mistrzejowicka,"Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska",ulica,"(50.0969093, 20.0259479, 0.0)",50.0969093,20.0259479,0.0
1632,Atrakcyjne mieszkanie   Teatralne,: Nowa Huta,1.0,245 000 ,41.36,5924.0,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-os-teatralne-ID3VzSs.html#461619a5cf,2019-03-18 09:21:14.711110,"Krakow , : Nowa Huta",Teatralne,Kraków Teatralne,"Osiedle Teatralne, Nowa Huta, Kraków, województwo małopolskie, Polska",ulica,"(50.0797342, 20.0327324, 0.0)",50.0797342,20.0327324,0.0
1633,Stachiewicza Azory 2 pokoje jasna kuchnia,: Azory,2.0,325 000 ,38.0,8553.0,https://www.otodom.pl/oferta/stachiewicza-azory-2-pokoje-jasna-kuchnia-ID3VzeQ.html#461619a5cf,2019-03-18 09:21:14.711611,"Krakow , : Azory",Stachowicza,Kraków Stachowicza,"Michała Stachowicza, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-103, Polska",ulica,"(50.0552789, 19.9221976, 0.0)",50.0552789,19.9221976,0.0
1635,Kraków Borsucza 3 pokojowe do zmieszkania 393 tyś,: Podgórze,3.0,393 000 ,57.0,6895.0,https://www.otodom.pl/oferta/krakow-borsucza-3-pokojowe-do-zmieszkania-393-tys-ID3VzE8.html#461619a5cf,2019-03-18 09:21:14.711611,"Krakow , : Podgórze",Borsucza,Kraków Borsucza,"Borsucza, Osiedle Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-406, Polska",ulica,"(50.0304124, 19.9289443, 0.0)",50.0304124,19.9289443,0.0
